homelat,homelon,homecontinent,n
34.7,138,Asia,2
34.7,138.2,Asia,2
34.7,138.9,Asia,13

34.8,39,Asia,2
34.8,134.7,Asia,4
34.8,135.4,Asia,2
34.8,135.5,Asia,5
34.8,135.6,Asia,3
34.8,136.5,Asia,1
34.8,137.4,Asia,22
34.8,137.8,Asia,8

34.9,128.6,Asia,1
34.9,134.5,Asia,2
34.9,135.7,Asia,2
34.9,135.8,Asia,8
34.9,136.6,Asia,1
34.9,137.1,Asia,18
34.9,138.9,Asia,3
35,135.7,Asia,4
35,135.8,Asia,57
35,135.9,Asia,52
35,136.6,Asia,1
35,137.2,Asia,2
35,138.4,Asia,394
35,138.5,Asia,7
35,138.9,Asia,53
35,139,Asia,1
35,139.1,Asia,1

35.1,134,Asia,23
35.1,136,Asia,1
35.1,136.7,Asia,19
35.1,136.8,Asia,1
35.1,136.9,Asia,1
35.1,137,Asia,2
35.1,137.2,Asia,4
35.1,138.9,Asia,13

35.1,140.1,Asia,3

35.2,126.9,Asia,2
35.2,129.1,Asia,54
35.2,136.8,Asia,1
35.2,136.9,Asia,171
35.2,137,Asia,2
35.2,137.2,Asia,3
35.2,138.7,Asia,17
35.2,139.7,Asia,1
35.2,140.3,Asia,190

35.3,128.6,Asia,2
35.3,135,Asia,1
35.3,136.3,Asia,44
35.3,136.7,Asia,1
35.3,136.8,Asia,1
35.3,138.6,Asia,1
35.3,139.1,Asia,1
35.3,139.2,Asia,10
35.3,139.3,Asia,176
35.3,139.4,Asia,411
35.3,139.5,Asia,877
35.3,139.6,Asia,9
35.3,139.7,Asia,45
35.3,139.9,Asia,28
35.3,140.4,Asia,7

35.4,132.8,Asia,3
35.4,136,Asia,1
35.4,136.3,Asia,2
35.4,136.6,Asia,1
35.4,136.7,Asia,6
35.4,136.8,Asia,2
35.4,138.4,Asia,1
35.4,139.4,Asia,241
35.4,139.5,Asia,2
35.4,139.6,Asia,519
35.4,140,Asia,1
35.4,140.1,Asia,1
35.4,140.4,Asia,2

35.5,133,Asia,30
35.5,133.1,Asia,2
35.5,133.3,Asia,1
35.5,134.2,Asia,7
35.5,139.3,Asia,2
35.5,139.4,Asia,35
35.5,139.5,Asia,6
35.5,139.6,Asia,17
